id,sumodb_id,nsk_id,ring_name,current_rank,heya,birthday,height,weight,debut,retirement
7522,10438,0,Hakushuzan,,-,0001-01-01T00:00:00Z,,,195401,1959-05-01T00:00:00Z
2973,5772,0,Wakahokkai Gentaro,,Hanakago,1943-03-02T00:00:00Z,,,195907,1966-09-01T00:00:00Z
6428,6679,0,Kakuryuasahi,,Oshima,1971-02-24T00:00:00Z,178.5,111.0,198705,1988-11-01T00:00:00Z
3683,381,0,Katsumayama Shuichi,,Naruto,1978-04-05T00:00:00Z,177.0,113.5,199403,2005-05-01T00:00:00Z
6560,7299,0,Otsuru,,Takadagawa,1967-05-14T00:00:00Z,186.0,77.0,198303,1987-09-01T00:00:00Z
2954,4235,0,Banryunada Kenzo,,Dewanoumi,1937-05-03T00:00:00Z,173.0,83.0,195305,1965-05-01T00:00:00Z
7711,10220,0,Odagiri,,-,0001-01-01T00:00:00Z,,,195701,1959-09-01T00:00:00Z
6531,7381,0,Onakajima,,Taiho,1969-11-18T00:00:00Z,176.0,95.0,198503,1986-09-01T00:00:00Z
8339,5495,0,Tochihisashi,,Kasugano,1943-09-21T00:00:00Z,,,196107,1962-09-01T00:00:00Z
4302,7159,0,Kairiki Takahito,,Nakamura,1991-11-21T00:00:00Z,175.0,153.0,200703,2012-11-01T00:00:00Z
6836,7510,0,Narushio,,Kokonoe,1962-06-22T00:00:00Z,184.0,157.0,198301,1984-03-01T00:00:00Z
2829,8399,0,Tochitakara#,,Kasugano,1944-05-18T00:00:00Z,175.0,97.0,196305,1968-03-01T00:00:00Z
7702,10835,0,Sachinoumi,,-,0001-01-01T00:00:00Z,,,195605,1958-05-01T00:00:00Z
1852,8203,0,Daigakuyama,,Takasago,1955-08-12T00:00:00Z,175.0,110.0,196905,1977-01-01T00:00:00Z
1303,6773,0,Taigiyama Tsuruji#,,Tatsunami,1959-02-12T00:00:00Z,182.0,170.0,197403,1984-09-01T00:00:00Z
2657,6843,0,Kato,,Hanakago,1945-05-14T00:00:00Z,173.0,130.5,196307,1969-09-01T00:00:00Z
218,12889,1306,Dairaido,Sandanme 27 East,Takadagawa,1980-04-17T00:00:00Z,177.0,151.0,199603,
7297,7962,0,Hoshisato,,Michinoku,1961-10-23T00:00:00Z,172.5,78.0,197909,1979-11-01T00:00:00Z
8755,11222,0,Yamanomoto,,-,0001-01-01T00:00:00Z,,,195903,1960-01-01T00:00:00Z
8530,5601,0,Daishinyama#,,-,0001-01-01T00:00:00Z,,,196907,1970-01-01T00:00:00Z
823,2376,0,Misuginada Masahiro#,,Hanakago,1961-01-02T00:00:00Z,180.5,96.0,197603,1982-05-01T00:00:00Z
2128,5251,0,Chiyohikari Nobuharu,,Kokonoe,1949-08-12T00:00:00Z,185.0,87.0,196703,1974-07-01T00:00:00Z
3728,865,0,Kasugao Katsumasa,,Kasugayama,1977-07-01T00:00:00Z,184.0,150.0,199811,2011-05-01T00:00:00Z
1508,2146,0,Buzan Susumu#,,Kokonoe,1959-05-14T00:00:00Z,182.0,79.0,197505,1982-01-01T00:00:00Z
8831,10516,0,Asakaze,,-,0001-01-01T00:00:00Z,,,195907,1959-09-01T00:00:00Z
3392,11778,0,Haguroho Ryuji,,Tatsunami,1993-07-08T00:00:00Z,171.5,126.5,200903,2017-01-01T00:00:00Z
5067,320,0,Tominaga Ryutaro,,Futagoyama,1976-12-17T00:00:00Z,180.7,101.5,199203,1999-11-01T00:00:00Z
8147,11428,0,Tsuganishiki,,Dewanoumi,1943-07-26T00:00:00Z,,,196105,1965-09-01T00:00:00Z
2849,8795,0,Mabuchi,,Sadogatake,1951-06-15T00:00:00Z,174.0,82.0,196509,1967-05-01T00:00:00Z
7944,8926,0,Kakuta,,Oyama,1954-08-27T00:00:00Z,176.0,84.0,197001,1970-03-01T00:00:00Z
1764,4298,0,Ohashi,,Hanakago,1953-04-05T00:00:00Z,179.0,90.0,196907,1977-07-01T00:00:00Z
6470,7205,0,Kumanishiki,,Takasago,0001-01-01T00:00:00Z,,,198603,1988-05-01T00:00:00Z
8268,11325,0,Kitanoumi,,Dewanoumi,1944-04-07T00:00:00Z,,,196001,1963-03-01T00:00:00Z
7260,7867,0,Kotononada,,Sadogatake,1963-11-21T00:00:00Z,182.0,82.0,198009,1981-01-01T00:00:00Z
850,7503,0,Iwanishiki Akio#,,Kagamiyama,1958-02-17T00:00:00Z,177.0,123.5,197303,1985-05-01T00:00:00Z
7715,10474,0,Nakanotate,,-,0001-01-01T00:00:00Z,,,195403,1958-03-01T00:00:00Z
5912,2468,0,Goshofuji Yukihiko,,Nakamura,1974-04-06T00:00:00Z,179.0,83.0,199303,1995-09-01T00:00:00Z
4532,6935,0,Asayamashita Tomonori,,Takasago,1987-10-02T00:00:00Z,181.0,68.0,200805,2009-01-01T00:00:00Z
8502,11647,0,Sakimura,,-,0001-01-01T00:00:00Z,,,196307,1964-09-01T00:00:00Z
4810,2821,0,Uno Shohei,,Irumagawa,1982-01-08T00:00:00Z,191.0,92.0,200207,2002-11-01T00:00:00Z
6864,7727,0,Kiyohide#,,Isegahama,1966-07-18T00:00:00Z,171.0,99.0,198203,1983-03-01T00:00:00Z
7509,5913,0,Takaoyama,,Takasago,0001-01-01T00:00:00Z,,,195609,1961-01-01T00:00:00Z
5694,2649,0,Kotoshirafuji Kosuke,,Sadogatake,1979-09-29T00:00:00Z,173.5,137.0,199503,1996-05-01T00:00:00Z
7868,9049,0,Usui,,-,0001-01-01T00:00:00Z,,,197303,1973-05-01T00:00:00Z
4426,1259,0,Daigoki Naoshi,,Shibatayama,1987-03-27T00:00:00Z,174.5,99.9,200203,2010-05-01T00:00:00Z
1646,6806,0,Ganryu# Mitsunari#,,Hanakago,1954-09-12T00:00:00Z,180.0,90.0,196711,1979-03-01T00:00:00Z
4817,624,0,Shotsukasa Takashi,,Irumagawa,1975-09-09T00:00:00Z,173.5,117.0,199309,2001-09-01T00:00:00Z
5169,573,0,Daido Hisanori,,Takashima,1978-11-19T00:00:00Z,179.0,117.5,199403,1998-07-01T00:00:00Z
969,4109,0,Kotogatake Koichi,,Sadogatake,1952-09-24T00:00:00Z,186.0,105.0,196711,1984-03-01T00:00:00Z
1095,5050,0,Asahinada Haruichiro#,,Oshima,1962-01-06T00:00:00Z,176.0,78.0,198003,1987-05-01T00:00:00Z
1256,7744,0,Tamashuho#,,Kataonami,1957-07-25T00:00:00Z,180.0,100.0,197511,1983-03-01T00:00:00Z
7641,10788,0,Wakanomine,,-,0001-01-01T00:00:00Z,,,195603,1958-07-01T00:00:00Z
6356,1815,0,Ota,,Oshima,1972-08-16T00:00:00Z,175.0,77.0,198803,1989-03-01T00:00:00Z
5065,284,0,Chiyonomori Kazuhisa,,Kokonoe,1974-06-07T00:00:00Z,179.0,123.5,199301,2000-01-01T00:00:00Z
2712,8754,0,Hakujinyama#,,Dewanoumi,1945-03-22T00:00:00Z,,,196301,1967-01-01T00:00:00Z
783,7448,0,Wakatenzan Katsuhiro#,,Tatsutagawa,1962-06-30T00:00:00Z,174.3,124.0,197803,1986-01-01T00:00:00Z
8128,11384,0,Sekiguchi,,Nishonoseki,1940-12-16T00:00:00Z,,,196011,1965-11-01T00:00:00Z
299,7124,2983,Kayatoiwa,Sandanme 70 East,Minato,1991-07-13T00:00:00Z,176.0,103.5,200703,
389,6772,0,Akatsuki Taro,,Takadagawa,1989-05-24T00:00:00Z,178.5,144.6,200701,2023-01-01T00:00:00Z
3207,6489,0,Bariki Shigenobu,,Shikoroyama,1986-12-30T00:00:00Z,182.0,105.5,200503,2020-03-01T00:00:00Z
706,11862,0,Fukamiyama Tetsuya,,Onoe,1994-11-12T00:00:00Z,180.0,152.0,201003,2022-05-01T00:00:00Z
3043,5417,0,Kawasaki Yoshitsugu,,Dewanoumi,1942-08-07T00:00:00Z,,,195903,1962-11-01T00:00:00Z
4536,2920,0,Takeuchiyama Takuya,,Azumazeki,1987-06-24T00:00:00Z,170.0,95.5,200305,2008-09-01T00:00:00Z
2984,5662,0,Kotochikugo Ryosuke#,,Sadogatake,1942-11-20T00:00:00Z,,,196101,1965-07-01T00:00:00Z
4643,7161,0,Takeuchi Yuki,,Shikoroyama,1990-07-21T00:00:00Z,170.0,114.0,200703,2007-05-01T00:00:00Z
8805,11374,0,Sugawara,,-,0001-01-01T00:00:00Z,,,196007,1960-11-01T00:00:00Z
6165,1337,0,Tochitsukasa Tetsuo,,Kasugano,1958-04-25T00:00:00Z,180.0,142.0,198103,1992-05-01T00:00:00Z
6278,1856,0,Shofu,,Oguruma,1970-10-16T00:00:00Z,186.0,76.7,198703,1990-05-01T00:00:00Z
3504,1050,0,Wakadaiki Tsuyoshi,,Hanakago,1984-04-02T00:00:00Z,184.0,129.0,200003,2002-09-01T00:00:00Z
