id,sumodb_id,nsk_id,ring_name,current_rank,height,weight,total_wins,total_losses,total_matches,rank_group,age,win_rate,debut_year,tenure,ichimon
7522,10438,0,Hakushuzan,Retired,0.0,0.0,27,36,63,4,0,42.86,1954,5,Unaffilliated
2973,5772,0,Wakahokkai Gentaro,Retired,0.0,0.0,146,160,306,4,81,47.71,1959,7,Unaffilliated
6428,6679,0,Kakuryuasahi,Retired,178.5,111.0,26,23,49,4,53,53.06,1987,1,Isegahama
3683,381,0,Katsumayama Shuichi,Retired,177.0,113.5,223,211,434,4,46,51.38,1994,11,Nishonoseki
6560,7299,0,Otsuru,Retired,186.0,77.0,78,73,151,4,57,51.66,1983,4,Nishonoseki
2954,4235,0,Banryunada Kenzo,Retired,173.0,83.0,162,167,329,4,87,49.24,1953,12,Dewanoumi
7711,10220,0,Odagiri,Retired,0.0,0.0,35,37,72,4,0,48.61,1957,2,Unaffilliated
6531,7381,0,Onakajima,Retired,176.0,95.0,14,21,35,4,55,40.0,1985,1,Unaffilliated
8339,5495,0,Tochihisashi,Retired,0.0,0.0,29,20,49,4,81,59.18,1961,1,Dewanoumi
4302,7159,0,Kairiki Takahito,Retired,175.0,153.0,77,107,184,4,33,41.85,2007,5,Nishonoseki
6836,7510,0,Narushio,Retired,184.0,157.0,12,2,14,4,62,85.71,1983,1,Takasago
2829,8399,0,Tochitakara#,Retired,175.0,97.0,97,99,196,4,80,49.49,1963,5,Dewanoumi
7702,10835,0,Sachinoumi,Retired,0.0,0.0,7,9,16,4,0,43.75,1956,2,Unaffilliated
1852,8203,0,Daigakuyama,Retired,175.0,110.0,141,167,308,4,69,45.78,1969,8,Takasago
1303,6773,0,Taigiyama Tsuruji#,Retired,182.0,170.0,228,199,427,4,65,53.4,1974,10,Dewanoumi
2657,6843,0,Kato,Retired,173.0,130.5,134,117,251,4,79,53.39,1963,6,Unaffilliated
218,12889,1306,Dairaido,Sandanme,177.0,151.0,619,580,1199,3,44,51.63,1996,28,Nishonoseki
8755,11222,0,Yamanomoto,Retired,0.0,0.0,18,14,32,4,0,56.25,1959,1,Unaffilliated
8530,5601,0,Daishinyama#,Retired,0.0,0.0,5,2,7,4,0,71.43,1969,1,Unaffilliated
823,2376,0,Misuginada Masahiro#,Retired,180.5,96.0,120,125,245,4,63,48.98,1976,6,Unaffilliated
2128,5251,0,Chiyohikari Nobuharu,Retired,185.0,87.0,153,144,297,4,75,51.52,1967,7,Takasago
3728,865,0,Kasugao Katsumasa,Retired,184.0,150.0,464,452,916,4,47,50.66,1998,13,Unaffilliated
1508,2146,0,Buzan Susumu#,Retired,182.0,79.0,136,137,273,4,65,49.82,1975,7,Takasago
3392,11778,0,Haguroho Ryuji,Retired,171.5,126.5,149,106,255,4,31,58.43,2009,8,Dewanoumi
5067,320,0,Tominaga Ryutaro,Retired,180.7,101.5,164,158,322,4,48,50.93,1992,7,Dewanoumi
8147,11428,0,Tsuganishiki,Retired,0.0,0.0,89,86,175,4,81,50.86,1961,4,Dewanoumi
2849,8795,0,Mabuchi,Retired,174.0,82.0,8,20,28,4,73,28.57,1965,2,Nishonoseki
1764,4298,0,Ohashi,Retired,179.0,90.0,174,165,339,4,71,51.33,1969,8,Unaffilliated
6470,7205,0,Kumanishiki,Retired,0.0,0.0,39,46,85,4,0,45.88,1986,2,Takasago
8268,11325,0,Kitanoumi,Retired,0.0,0.0,69,58,127,4,80,54.33,1960,3,Dewanoumi
